trialnum,filename,facehouse,girlboy
507,visual\face_house\faces\Jodi_3.jpg,1,0
508,visual\face_house\houses\house4.3.jpg,0,0
509,visual\face_house\faces\Tim_3.jpg,1,1
510,visual\face_house\faces\Janie_3.jpg,1,0
511,visual\face_house\faces\Annie_3.jpg,1,0
512,visual\face_house\faces\Blake_3.jpg,1,1
513,visual\face_house\houses\house6.3.jpg,0,1
514,visual\face_house\faces\Blake_3.jpg,1,1
515,visual\face_house\faces\Frank_3.jpg,1,1
516,visual\face_house\houses\house12.3.jpg,0,1
517,visual\face_house\houses\house1.3.jpg,0,1
518,visual\face_house\houses\house10.3.jpg,0,1
519,visual\face_house\houses\house7.3.jpg,0,1
520,visual\face_house\faces\Jodi_3.jpg,1,0
521,visual\face_house\faces\Joan_3.jpg,1,0
522,visual\face_house\houses\house9.3.jpg,0,0
523,visual\face_house\houses\house9.3.jpg,0,0
524,visual\face_house\houses\house8.3.jpg,0,0
525,visual\face_house\houses\house5.3.jpg,0,0
526,visual\face_house\houses\house11.3.jpg,0,0
527,visual\face_house\faces\Estelle_3.jpg,1,0
528,visual\face_house\faces\Frank_3.jpg,1,1
529,visual\face_house\faces\Joan_3.jpg,1,0
530,visual\face_house\houses\house9.3.jpg,0,0
531,visual\face_house\faces\Joe_3.jpg,1,1
532,visual\face_house\faces\Don_3.jpg,1,1
533,visual\face_house\faces\Tom_3.jpg,1,1
534,visual\face_house\faces\Estelle_3.jpg,1,0
535,visual\face_house\houses\house3.3.jpg,0,0
536,visual\face_house\faces\Joe_3.jpg,1,1
537,visual\face_house\houses\house12.3.jpg,0,1
538,visual\face_house\houses\house3.3.jpg,0,1
539,visual\face_house\faces\Frank_3.jpg,1,1
540,visual\face_house\faces\Don_3.jpg,1,1
541,visual\face_house\faces\Tim_3.jpg,1,1
542,visual\face_house\houses\house6.3.jpg,0,1
