trialnum,filename,facehouse,girlboy
227,stimulus_presentation/stim/face_house/faces\Don_3.jpg,1,1
228,stimulus_presentation/stim/face_house/faces\Jodi_3.jpg,1,0
229,stimulus_presentation/stim/face_house/faces\Estelle_3.jpg,1,0
230,stimulus_presentation/stim/face_house/houses\house4.3.jpg,0,0
231,stimulus_presentation/stim/face_house/houses\house8.3.jpg,0,0
232,stimulus_presentation/stim/face_house/houses\house7.3.jpg,0,0
233,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,0
234,stimulus_presentation/stim/face_house/houses\house1.3.jpg,0,0
235,stimulus_presentation/stim/face_house/houses\house5.3.jpg,0,0
236,stimulus_presentation/stim/face_house/faces\Janie_3.jpg,1,0
237,stimulus_presentation/stim/face_house/houses\house12.3.jpg,0,0
238,stimulus_presentation/stim/face_house/houses\house12.3.jpg,0,0
239,stimulus_presentation/stim/face_house/houses\house12.3.jpg,0,0
240,stimulus_presentation/stim/face_house/houses\house7.3.jpg,0,0
241,stimulus_presentation/stim/face_house/houses\house4.3.jpg,0,0
242,stimulus_presentation/stim/face_house/houses\house1.3.jpg,0,0
243,stimulus_presentation/stim/face_house/faces\Wallace_3.jpg,1,1
244,stimulus_presentation/stim/face_house/faces\Frank_3.jpg,1,1
245,stimulus_presentation/stim/face_house/faces\Tim_3.jpg,1,1
246,stimulus_presentation/stim/face_house/faces\Blake_3.jpg,1,1
247,stimulus_presentation/stim/face_house/faces\Jodi_3.jpg,1,0
248,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
249,stimulus_presentation/stim/face_house/houses\house3.3.jpg,0,1
250,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,1
251,stimulus_presentation/stim/face_house/faces\Annie_3.jpg,1,0
252,stimulus_presentation/stim/face_house/houses\house10.3.jpg,0,0
253,stimulus_presentation/stim/face_house/faces\Annie_3.jpg,1,0
254,stimulus_presentation/stim/face_house/houses\house10.3.jpg,0,0
255,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
256,stimulus_presentation/stim/face_house/houses\house8.3.jpg,0,1
257,stimulus_presentation/stim/face_house/houses\house3.3.jpg,0,1
258,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,1
